dataset,layer_type,structure,experiment,timestep,mean_nnrd,std_nnrd,median_nnrd,q25_nnrd,q75_nnrd,min_nnrd,max_nnrd,n_successful,individual_scores
synth-feature,gin,False,synth-feature_gin_structFalse,16,-0.20219762210154987,0.006178205304996274,-0.2009394561945077,-0.20562701221800767,-0.19813914903157098,-0.21031456824150765,-0.1953388418686343,3,"[-0.2009394561945077, -0.21031456824150765, -0.1953388418686343]"
synth-feature,gin,False,synth-feature_gin_structFalse,17,-0.20718187374025124,0.007328085639945099,-0.20462136202211584,-0.21089013900606907,-0.2021933526153657,-0.21715891599002227,-0.19976534320861558,3,"[-0.19976534320861558, -0.21715891599002227, -0.20462136202211584]"
synth-feature,gin,False,synth-feature_gin_structFalse,18,-0.21759717850305824,0.002003406761994502,-0.21714349605467462,-0.2186947582169356,-0.21627275756498907,-0.22024602037919658,-0.2154020190753035,3,"[-0.2154020190753035, -0.22024602037919658, -0.21714349605467462]"
synth-feature,gin,False,synth-feature_gin_structFalse,19,-0.21217023000340843,0.007266390606286878,-0.2154631398970691,-0.2172085555477134,-0.2087783594059338,-0.21895397119835766,-0.20209357891479854,3,"[-0.21895397119835766, -0.20209357891479854, -0.2154631398970691]"
synth-easy,gin,False,synth-easy_gin_structFalse,2,-0.34657359027997264,0.0,-0.34657359027997264,-0.34657359027997264,-0.34657359027997264,-0.34657359027997264,-0.34657359027997264,3,"[-0.34657359027997264, -0.34657359027997264, -0.34657359027997264]"
synth-easy,gin,False,synth-easy_gin_structFalse,3,-0.2828317524639869,0.0022350693629832994,-0.2838226335971144,-0.28437917641744026,-0.2817797690770973,-0.28493571923776606,-0.27973690455708017,3,"[-0.28493571923776606, -0.27973690455708017, -0.2838226335971144]"
synth-easy,gin,False,synth-easy_gin_structFalse,4,-0.25706172502560326,0.008671500066039919,-0.2546084346484802,-0.2616512476826521,-0.25124555717999286,-0.26869406071682395,-0.24788267971150552,3,"[-0.26869406071682395, -0.24788267971150552, -0.2546084346484802]"
synth-easy,gin,False,synth-easy_gin_structFalse,5,-0.24066881157201614,0.004071463052929858,-0.23983906961603463,-0.24292860445215902,-0.23799414771388253,-0.24601813928828342,-0.23614922581173042,3,"[-0.23983906961603463, -0.24601813928828342, -0.23614922581173042]"
synth-easy,gin,False,synth-easy_gin_structFalse,6,-0.23137187461599593,0.0022288012533748128,-0.23229868067397583,-0.23290809763651682,-0.23029905462446498,-0.2335175145990578,-0.22829942857495414,3,"[-0.22829942857495414, -0.2335175145990578, -0.23229868067397583]"
synth-easy,gin,False,synth-easy_gin_structFalse,7,-0.2221624663625129,0.008334789328018706,-0.22288518457052106,-0.2274375381380177,-0.21724875369101218,-0.23198989170551437,-0.2116123228115033,3,"[-0.2116123228115033, -0.23198989170551437, -0.22288518457052106]"
synth-easy,gin,False,synth-easy_gin_structFalse,8,-0.22406199985340955,0.0035672680301529567,-0.22549574467185712,-0.2265148562430075,-0.22232601587303538,-0.22753396781415786,-0.21915628707421364,3,"[-0.22753396781415786, -0.21915628707421364, -0.22549574467185712]"
synth-easy,gin,False,synth-easy_gin_structFalse,9,-0.23565165704786417,0.008519995739588374,-0.23891752548449816,-0.24149022701886885,-0.2314460212951765,-0.24406292855323958,-0.22397451710585484,3,"[-0.22397451710585484, -0.23891752548449816, -0.24406292855323958]"
synth-easy,gin,False,synth-easy_gin_structFalse,10,-0.21201973671619415,0.001374749715971881,-0.21189426186759816,-0.2128284717504843,-0.21114826425760597,-0.21376268163337048,-0.2104022666476138,3,"[-0.21189426186759816, -0.21376268163337048, -0.2104022666476138]"
synth-easy,gin,False,synth-easy_gin_structFalse,11,-0.21200611720683712,0.003680897686880248,-0.21063800079012412,-0.2138389274515914,-0.20948924875372638,-0.21703985411305868,-0.20834049671732863,3,"[-0.20834049671732863, -0.21703985411305868, -0.21063800079012412]"
synth-easy,gin,False,synth-easy_gin_structFalse,12,-0.21663125072598508,0.009177084053049352,-0.21720100975041456,-0.22238806574933412,-0.21115931521485076,-0.22757512174825367,-0.205117620679287,3,"[-0.22757512174825367, -0.21720100975041456, -0.205117620679287]"
synth-easy,gin,False,synth-easy_gin_structFalse,13,-0.20955809258856117,0.006021305956520789,-0.2115148928063148,-0.21363589919059917,-0.2064586860954,-0.21575690557488356,-0.2014024793844852,3,"[-0.21575690557488356, -0.2115148928063148, -0.2014024793844852]"
synth-easy,gin,False,synth-easy_gin_structFalse,14,-0.20693869686726604,0.0050954047422756684,-0.2046477531873146,-0.2093243560790547,-0.20340756581550168,-0.2140009589707948,-0.20216737844368873,3,"[-0.2140009589707948, -0.20216737844368873, -0.2046477531873146]"
synth-easy,gin,False,synth-easy_gin_structFalse,15,-0.21484342339444754,0.01159217697131308,-0.20767091333162757,-0.21943355866023645,-0.20666703309724865,-0.23119620398884536,-0.2056631528628697,3,"[-0.2056631528628697, -0.23119620398884536, -0.20767091333162757]"
synth-easy,gin,False,synth-easy_gin_structFalse,16,-0.20926836266941784,0.006765080065464052,-0.21370122898417868,-0.21404780978482196,-0.20670534871139415,-0.21439439058546525,-0.19970946843860962,3,"[-0.21370122898417868, -0.21439439058546525, -0.19970946843860962]"
synth-easy,gin,False,synth-easy_gin_structFalse,17,-0.20541604713702152,0.012985202332464717,-0.21375680042061213,-0.2145854978651722,-0.2004169730506661,-0.21541419530973227,-0.1870771456807201,3,"[-0.21375680042061213, -0.1870771456807201, -0.21541419530973227]"
