dataset,layer_type,structure,experiment,timestep,mean_nnrd,std_nnrd,median_nnrd,q25_nnrd,q75_nnrd,min_nnrd,max_nnrd,n_successful,individual_scores
synth-easy,gin,False,synth-easy_gin_structFalse,44,-0.20392710587133325,0.005380318933158219,-0.2060231959524178,-0.2076184045286319,-0.2012838522545769,-0.209213613104846,-0.196544508556736,3,"[-0.2060231959524178, -0.196544508556736, -0.209213613104846]"
synth-easy,gin,False,synth-easy_gin_structFalse,48,-0.20255005784849625,0.004859055907278633,-0.20357764259550692,-0.20574904889503304,-0.19986485917546482,-0.20792045519455918,-0.19615207575542273,3,"[-0.20357764259550692, -0.20792045519455918, -0.19615207575542273]"
synth-easy,gin,False,synth-easy_gin_structFalse,52,-0.1991788737562127,0.008652547318565174,-0.2008584725155241,-0.20484720353645341,-0.19435034335562773,-0.20883593455738272,-0.18784221419573136,3,"[-0.2008584725155241, -0.20883593455738272, -0.18784221419573136]"
synth-easy,gin,False,synth-easy_gin_structFalse,56,-0.20009112073928348,0.006399403454595714,-0.20393306036244674,-0.20459978023953174,-0.19750343105061682,-0.20526650011661673,-0.1910738017387869,3,"[-0.20526650011661673, -0.20393306036244674, -0.1910738017387869]"
synth-easy,gin,False,synth-easy_gin_structFalse,60,-0.19950185162002795,0.004159623299705072,-0.19881174431784573,-0.20185897461840963,-0.19679967497055517,-0.2049062049189735,-0.1947876056232646,3,"[-0.1947876056232646, -0.2049062049189735, -0.19881174431784573]"
synth-easy,gin,False,synth-easy_gin_structFalse,64,-0.19493111882712452,0.007444992475719286,-0.19951428244677719,-0.20018141420492763,-0.19197240525914774,-0.2008485459630781,-0.1844305280715183,3,"[-0.2008485459630781, -0.1844305280715183, -0.19951428244677719]"
synth-easy,gin,False,synth-easy_gin_structFalse,68,-0.20185566491420634,0.0010210802606499731,-0.20150110410528185,-0.20237316461385732,-0.2011608848100931,-0.2032452251224328,-0.20082066551490432,3,"[-0.2032452251224328, -0.20082066551490432, -0.20150110410528185]"
synth-easy,gin,False,synth-easy_gin_structFalse,72,-0.1970697750706204,0.001794629195483374,-0.19790757381956248,-0.19831660256585612,-0.1962418469498557,-0.19872563131214976,-0.19457612008014893,3,"[-0.19790757381956248, -0.19872563131214976, -0.19457612008014893]"
synth-easy,gin,False,synth-easy_gin_structFalse,76,-0.20353276450054736,0.002820292255725059,-0.20200762774365943,-0.2047472983629956,-0.20155566225965518,-0.2074869689823318,-0.20110369677565093,3,"[-0.2074869689823318, -0.20200762774365943, -0.20110369677565093]"
synth-easy,gin,False,synth-easy_gin_structFalse,80,-0.19978034340071948,0.0028151640748494125,-0.19870895802992378,-0.20117283009636844,-0.1978521640196727,-0.20363670216281307,-0.1969953700094216,3,"[-0.1969953700094216, -0.20363670216281307, -0.19870895802992378]"
synth-easy,gin,False,synth-easy_gin_structFalse,84,-0.19954569546928505,0.006357795443943977,-0.19605878362734097,-0.20226261031337833,-0.19508532470421974,-0.20846643699941567,-0.1941118657810985,3,"[-0.19605878362734097, -0.1941118657810985, -0.20846643699941567]"
synth-easy,gin,False,synth-easy_gin_structFalse,88,-0.19893018832589338,0.001500103319706685,-0.19868597624429685,-0.19978165041483412,-0.19795662019615437,-0.2008773245853714,-0.1972272641480119,3,"[-0.19868597624429685, -0.2008773245853714, -0.1972272641480119]"
synth-easy,gin,False,synth-easy_gin_structFalse,92,-0.19605447443714516,0.0032982361611674726,-0.19648749363410808,-0.19817375592961656,-0.1941517025431552,-0.19986001822512503,-0.1918159114522023,3,"[-0.1918159114522023, -0.19986001822512503, -0.19648749363410808]"
synth-easy,gin,False,synth-easy_gin_structFalse,96,-0.19538209359099643,0.002674564851128181,-0.1960403241351957,-0.19715948996102958,-0.1939338124930629,-0.19827865578686346,-0.19182730085093014,3,"[-0.19182730085093014, -0.1960403241351957, -0.19827865578686346]"
synth-structure,gin,False,synth-structure_gin_structFalse,4,0.3143263996995879,0.009312289680477153,0.3208035875522675,0.31098050188358484,0.32091089144193075,0.3011574162149021,0.32101819533159404,3,"[0.3011574162149021, 0.3208035875522675, 0.32101819533159404]"
synth-structure,gin,False,synth-structure_gin_structFalse,8,0.31232840587366417,0.0015380584321342166,0.31209889533787794,0.3113344214256727,0.3132076350537625,0.3105699475134675,0.31431637476964697,3,"[0.31431637476964697, 0.31209889533787794, 0.3105699475134675]"
synth-structure,gin,False,synth-structure_gin_structFalse,12,0.31134791749533697,0.003087653459306552,0.31212459275191706,0.30968144210071225,0.31340273051825174,0.30723829144950743,0.31468086828458647,3,"[0.31468086828458647, 0.30723829144950743, 0.31212459275191706]"
synth-structure,gin,False,synth-structure_gin_structFalse,16,0.3022791433567372,0.004351111163902425,0.30198469066403044,0.2995440819993114,0.3048669783678097,0.29710347333459225,0.3077492660715889,3,"[0.30198469066403044, 0.29710347333459225, 0.3077492660715889]"
synth-structure,gin,False,synth-structure_gin_structFalse,20,0.3073288271796187,0.004333610235601038,0.30981625688367737,0.3055253090361759,0.3103760601750908,0.3012343611886744,0.31093586346650415,3,"[0.30981625688367737, 0.31093586346650415, 0.3012343611886744]"
synth-structure,gin,False,synth-structure_gin_structFalse,24,0.30270186692607853,0.009040819844706085,0.30193546691282797,0.29698387324195075,0.30803666060358104,0.29203227957107347,0.31413785429433405,3,"[0.29203227957107347, 0.31413785429433405, 0.30193546691282797]"
synth-structure,gin,False,synth-structure_gin_structFalse,28,0.3146025523910812,0.004104423748205136,0.31204656974356737,0.3117069189654904,0.31622019449291516,0.3113672681874134,0.32039381924226296,3,"[0.31204656974356737, 0.32039381924226296, 0.3113672681874134]"
synth-structure,gin,False,synth-structure_gin_structFalse,32,0.30349880108049565,0.004660705521438686,0.3058368225684794,0.3014148094233735,0.3067518034816097,0.2969927962782676,0.30766678439473993,3,"[0.3058368225684794, 0.2969927962782676, 0.30766678439473993]"
synth-structure,gin,False,synth-structure_gin_structFalse,36,0.3021757880806856,0.0048843235878857204,0.30263480840193346,0.2993061294570485,0.30527495686494666,0.2959774505121635,0.30791510532795985,3,"[0.2959774505121635, 0.30263480840193346, 0.30791510532795985]"
synth-structure,gin,False,synth-structure_gin_structFalse,40,0.30754039167161995,0.003072223306846629,0.30538851677618084,0.3053680339261009,0.3086368119694195,0.30534755107602096,0.3118851071626581,3,"[0.30534755107602096, 0.30538851677618084, 0.3118851071626581]"
synth-structure,gin,False,synth-structure_gin_structFalse,44,0.30943864993909626,0.006960095749705413,0.3085295500108595,0.3049674218394249,0.31345532807464926,0.30140529366799024,0.318381106138439,3,"[0.30140529366799024, 0.318381106138439, 0.3085295500108595]"
synth-structure,gin,False,synth-structure_gin_structFalse,48,0.31025421117377533,0.004180396434866187,0.31056967268938945,0.30777676404473464,0.312889389060623,0.30498385540007983,0.3152091054318566,3,"[0.30498385540007983, 0.3152091054318566, 0.31056967268938945]"
synth-structure,gin,False,synth-structure_gin_structFalse,52,0.303946386355236,0.006093810337965858,0.30011827685630216,0.2996460458819138,0.3063326720790912,0.2991738149075255,0.31254706730188025,3,"[0.31254706730188025, 0.2991738149075255, 0.30011827685630216]"
synth-structure,gin,False,synth-structure_gin_structFalse,56,0.29628698448228724,0.0007846973335866125,0.29612926031418507,0.29577190462729563,0.2967232022532278,0.29541454894040614,0.29731714419227057,3,"[0.29541454894040614, 0.29731714419227057, 0.29612926031418507]"
synth-structure,gin,False,synth-structure_gin_structFalse,60,0.30448014259552897,0.0030192948096721744,0.30586052601091734,0.30307558720259425,0.30657488969615787,0.30029064839427116,0.3072892533813984,3,"[0.30586052601091734, 0.30029064839427116, 0.3072892533813984]"
synth-structure,gin,False,synth-structure_gin_structFalse,64,0.30014527180897405,0.002920506373834717,0.3001206138017998,0.29835070157815635,0.3019275130362046,0.2965807893545129,0.30373441227060943,3,"[0.3001206138017998, 0.2965807893545129, 0.30373441227060943]"
synth-structure,gin,False,synth-structure_gin_structFalse,68,0.30342827634027003,0.007231543585262474,0.3074793223029122,0.300374878589867,0.30850719707199414,0.2932704348768218,0.3095350718410761,3,"[0.2932704348768218, 0.3074793223029122, 0.3095350718410761]"
synth-structure,gin,False,synth-structure_gin_structFalse,72,0.3017887073804541,0.0034325014919085735,0.3016465769491743,0.2996521066547885,0.3038542428904798,0.29765763636040266,0.3060619088317853,3,"[0.3016465769491743, 0.3060619088317853, 0.29765763636040266]"
synth-structure,gin,False,synth-structure_gin_structFalse,76,0.2970140632072577,0.0027849795685864695,0.29753549848870003,0.2954539897063158,0.29883485434892076,0.2933724809239316,0.30013421020914155,3,"[0.30013421020914155, 0.29753549848870003, 0.2933724809239316]"
synth-structure,gin,False,synth-structure_gin_structFalse,80,0.30093386030860086,0.0035129485525945696,0.2999003697220081,0.29857131714810803,0.30277965817579733,0.297242264574208,0.3056589466295865,3,"[0.2999003697220081, 0.297242264574208, 0.3056589466295865]"
synth-structure,gin,False,synth-structure_gin_structFalse,84,0.30271986073919627,0.002316843226044738,0.30415633703540496,0.30180382828412267,0.3043541313423742,0.29945131953284043,0.30455192564934347,3,"[0.29945131953284043, 0.30415633703540496, 0.30455192564934347]"
synth-structure,gin,False,synth-structure_gin_structFalse,88,0.25367713690743326,0.07495189607001808,0.30600152240701345,0.2268417608107262,0.3066747057539304,0.14768199921443895,0.3073478891008474,3,"[0.14768199921443895, 0.3073478891008474, 0.30600152240701345]"
synth-structure,gin,False,synth-structure_gin_structFalse,92,0.2989153384898674,0.0054722241454269556,0.3027193585467426,0.29694808506788406,0.30278460194028833,0.2911768115890256,0.302849845333834,3,"[0.302849845333834, 0.2911768115890256, 0.3027193585467426]"
synth-structure,gin,False,synth-structure_gin_structFalse,96,0.2983440624886242,0.005161849677912528,0.2982641748520582,0.2951633054072434,0.301484875751722,0.2920624359624286,0.3047055766513858,3,"[0.3047055766513858, 0.2982641748520582, 0.2920624359624286]"
synth-feature,gin,False,synth-feature_gin_structFalse,4,-0.2512260721530524,0.0038608004199571578,-0.2513538973076425,-0.25362162820538153,-0.24889442867801836,-0.25588935910312055,-0.2464349600483942,3,"[-0.2464349600483942, -0.2513538973076425, -0.25588935910312055]"
synth-feature,gin,False,synth-feature_gin_structFalse,8,-0.21638834775014792,0.0037338159848153995,-0.21650643411187154,-0.21870378351334843,-0.21413195516780925,-0.22090113291482533,-0.21175747622374694,3,"[-0.22090113291482533, -0.21650643411187154, -0.21175747622374694]"
synth-feature,gin,False,synth-feature_gin_structFalse,12,-0.20809574979163156,0.004705303444441858,-0.20623223799580068,-0.2103959753112969,-0.2048637683740508,-0.2145597126267931,-0.20349529875230088,3,"[-0.2145597126267931, -0.20623223799580068, -0.20349529875230088]"
synth-feature,gin,False,synth-feature_gin_structFalse,16,-0.21651642541869118,0.003527616473077102,-0.2142510104459322,-0.21787471698195318,-0.2140254263690497,-0.22149842351797416,-0.21379984229216717,3,"[-0.22149842351797416, -0.21379984229216717, -0.2142510104459322]"
synth-feature,gin,False,synth-feature_gin_structFalse,20,-0.20680981675079177,0.004260020446589685,-0.20807089123322303,-0.2096760131276465,-0.20457415761515266,-0.21128113502206997,-0.20107742399708228,3,"[-0.20807089123322303, -0.20107742399708228, -0.21128113502206997]"
synth-feature,gin,False,synth-feature_gin_structFalse,24,-0.20518304838777526,0.006078996643681999,-0.20582350901288926,-0.20905542895521462,-0.20163089813289292,-0.21228734889753995,-0.1974382872528966,3,"[-0.20582350901288926, -0.1974382872528966, -0.21228734889753995]"
synth-feature,gin,False,synth-feature_gin_structFalse,28,-0.20788538408795496,0.007472372704842725,-0.20942023904598422,-0.21279645069512892,-0.20374174495979563,-0.2161726623442736,-0.19806325087360702,3,"[-0.20942023904598422, -0.19806325087360702, -0.2161726623442736]"
synth-feature,gin,False,synth-feature_gin_structFalse,32,-0.20348105296294397,0.004272852566597517,-0.20119838562458273,-0.20533308998719624,-0.20048768226951114,-0.20946779434980975,-0.19977697891443952,3,"[-0.20119838562458273, -0.20946779434980975, -0.19977697891443952]"
synth-feature,gin,False,synth-feature_gin_structFalse,36,-0.2047637190721304,0.008838742965360443,-0.20936870118944667,-0.21094687950996996,-0.20088304969294896,-0.21252505783049325,-0.19239739819645124,3,"[-0.20936870118944667, -0.21252505783049325, -0.19239739819645124]"
synth-feature,gin,False,synth-feature_gin_structFalse,40,-0.2021981148825103,0.009015731291538594,-0.19787527387018136,-0.20631138913721295,-0.19592342012164318,-0.21474750440424453,-0.193971566373105,3,"[-0.193971566373105, -0.19787527387018136, -0.21474750440424453]"
synth-feature,gin,False,synth-feature_gin_structFalse,44,-0.19619609815071457,0.00038087422980322675,-0.19644656774257155,-0.19646520193204253,-0.19605222916531506,-0.19648383612151352,-0.19565789058805858,3,"[-0.19644656774257155, -0.19648383612151352, -0.19565789058805858]"
synth-feature,gin,False,synth-feature_gin_structFalse,48,-0.200387135867958,0.00737518052201555,-0.20016087670504087,-0.20484586554968215,-0.19581527660477532,-0.20953085439432342,-0.19146967650450977,3,"[-0.20953085439432342, -0.19146967650450977, -0.20016087670504087]"
synth-feature,gin,False,synth-feature_gin_structFalse,52,-0.20205527603633053,0.0023140510929019597,-0.20285781658853946,-0.20362970111350975,-0.20088212123525576,-0.20440158563848004,-0.19890642588197205,3,"[-0.20285781658853946, -0.19890642588197205, -0.20440158563848004]"
synth-feature,gin,False,synth-feature_gin_structFalse,56,-0.20427127582419166,0.004576049241932743,-0.20746256955513057,-0.20750692991342423,-0.20263126860042857,-0.20755129027171787,-0.19779996764572658,3,"[-0.19779996764572658, -0.20755129027171787, -0.20746256955513057]"
